latitude,longitude,name,state,zip
43.0839,-71.8609,For The Love of Dog,NH,3244
42.2645,-70.8621,Hull Seaside Animal Rescue,MA,2045
42.2645,-70.8621,Survivor Tails Animal Rescue,MA,2045
42.9503,-71.8764,Cocker Spaniel Rescue of New England,NH,3047
42.2844,-71.1293,City of Boston Animal Shelter,MA,2131
42.2844,-71.1293,Boston's Forgotten Felines,MA,2131
42.2507,-71.0018,Eskies Online American Eskimo Dog Rescue,MA,2169
42.2507,-71.0018,Quincy Animal Shelter,MA,2169
42.3835,-71.4286,Save A Dog,MA,1776
42.3455,-71.3599,"Guardian Angels Cat Rescue, Inc.",MA,1778
42.3455,-71.3599,"German Shepherd Rescue of New England, Inc.",MA,1778
42.308,-71.2854,Stray Pets In Need of MA inc. (SPIN),MA,2181
42.585,-71.7292,The Pat Brody Shelter for Cats,MA,1462
43.8104,-70.2567,Homeless Animal Rescue Team (HART),ME,4021
42.2046,-70.7513,Scituate Animal Shelter,MA,2066
42.2438,-71.1654,Shultz's Guest House,MA,2026
42.21,-70.99,Massachusetts Humane Society Inc.,MA,2185
42.21,-70.99,South Shore Humane Society,MA,2185
42.2102,-70.9999,"Rescue Angels, Inc.",MA,2184
43.8116,-70.2012,Old Dogs New Digs,ME,4096
42.2906,-71.353,"All Dog Rescue, Inc.",MA,1760
42.3911,-71.5588,CaRMaH (Cat Rescue of Marlborough and Hudson),MA,1749
42.3025,-71.4236,PittieLove Rescue Inc.,MA,1701
42.1732,-71.0494,Hilltop Humane Society,MA,2368
42.1732,-71.0494,Paws4Survival Rescue Inc.,MA,2368
42.28,-71.4164,Wildheart Canine Rescue,MA,1702
42.1867,-71.2027,Neponset Valley Humane Society,MA,2062
42.1472,-71.0112,Bessy's Place Cat Sanctuary & Cat Adoption,MA,2343
42.1658,-71.1344,"CAT CANTON RESCUE, Inc.",MA,2021
43.8512,-70.1207,Tall Tails Beagle Rescue,ME,4032
43.8512,-70.1207,Journey Home Dog Rescue,ME,4032
42.107,-70.6953,"IMPS - Internet Miniature Pinscher Service, Inc. - New England region",MA,2050
42.1245,-71.0452,Marty's Cat Rescue,MA,2322
42.1816,-71.3036,Forever Home Rescue New England,MA,2052
42.1816,-71.3036,A Medfield Animal Shelter,MA,2052
42.8312,-72.0674,Monadnock Kitty Rescue and Adoption,NH,3452
42.414,-71.7925,Animal Shelter Inc.,MA,1564
42.414,-71.7925,NEADY Cats Inc.,MA,1564
42.0811,-71.0255,Animal Protection Center of Southeastern MA,MA,2301
42.0811,-71.0255,Cat Lovers Rescue,MA,2302
42.226,-71.5195,Baypath Humane Society of Hopkinton Inc.,MA,1748
42.226,-71.5195,Brown Dog Coalition and Rescue Ltd,MA,1748
42.0605,-70.863,Caribbean Connection Puppy Rescue,MA,2341
42.0552,-70.8094,Town of Pembroke Animal Control,MA,2359
44.0544,-70.9417,Harvest Hills Animal Shelter,ME,4037
44.0544,-70.9417,The Long Journey to a New Begining Animal Rescue,ME,4037
42.5668,-71.9839,Gardner Animal Control Facility,MA,1440
42.0473,-70.7177,Duxbury Animal Control & Shelter,MA,2332
42.0417,-70.6728,Standish Humane Society,MA,2331
42.359,-71.7915,NEADS,MA,1583
43.9737,-71.3956,Connect A Pet New England,NH,3818
43.8973,-69.9718,"Puppy Love, Inc.",ME,4011
43.8973,-69.9718,Coastal Humane Society,ME,4011
42.3107,-71.7962,Broken Tail Rescue,MA,1606
42.3107,-71.7962,Worcester Animal Rescue League,MA,1606
42.1499,-71.5263,Town of Milford Animal Control,MA,1757
43.9371,-69.9656,Coastal Maine Great Dane Rescue,ME,4086
43.9371,-69.9656,Community Spay-Neuter Clinic,ME,4086
42.0234,-71.219,Mansfield Animal Shelter,MA,2048
42.0234,-71.219,"The Pittie Stop Rescue, Inc.",MA,2048
43.3663,-72.2055,Wags and Wiggles Rescue,NH,3773
44.087,-70.3186,Australian Cattle Dog Rescue Association,ME,4258
41.9799,-70.9751,"North Atlantic Westie Rescue, Inc.",MA,2324
42.5209,-72.0712,Ahimsa Haven,MA,1468
42.5209,-72.0712,American Bullmastiff Rescue,MA,1468
43.9235,-69.8342,A Paw in the Door Cat Rescue,ME,4530
43.9235,-69.8342,Souly Maine Pets Rescue,ME,4530
